Address,City,State,Zip,InstitutionName,AUTO_UNIQUE_ID_2013-07-21_nicholasdelrio_institutions,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPrimaryIdValue,FPostOfficeBoxNumber,FPrimaryIdField,FGeometrySRID,FPostOfficeBoxType,FPreType,FPreArticle,FPostArticle
NULL ADDRESS, NULL CITY NAME, MI, NULL ZIP CODE, University of Michigan Central Office,169,USCGeocoder,125.0024,1,4.01,,76364d0e-9736-4dbc-93fe-98df60757449,98,Unknown,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,250486.837,ArealInterpolationGeometricCentroid,State,100,FeatureClassBased,FlipACoin,,StateCentroid,,,1,44.81566738,-86.14800697,Exact,TwoThousandTen,,870,,,1,45900,4,0,9900,89,26,9,Missing,,,,NULL ADDRESS,,,,,,,NULL CITY NAME,MI,NULL ,,,,,,,,,,NULL ADDRESS,,,,,,,,,,,NULL ADDRESS,,,,,,,NULL CITY NAME,MI,NULL ,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,,,250486.84,Kilometers,,SOURCE_CENSUS_2010_STATES,2010,26,,stateFp10,0,,,,
NULL ADDRESS, Oakland, CA,946084408, Madigan Daniel J,170,USCGeocoder,437.5084,1,4.01,,f9e4cb8c-fa0a-49d5-b2be-246c577013ef,6,AddressZIPPlus4Centroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1790.758237,LinearInterpolationMidPoint,USPSZipPlus4,100,FeatureClassBased,FlipACoin,,USPSZipPlus4LineCentroid,,,1,37.82263959,-122.2848019,Exact,TwoThousandTen,53000,7362,36084,92230,0,41860,3009,3,4015,1,6,2,ResidenceZIPPlus4,,,,,,,,,,,,,94608,,,,4408,,,,,,,,,,,,,,,,,NULL ADDRESS,,,,,,,Oakland,CA,94608,,,,4408,,,,,,,,,,,,,,,,,CA,94608,,,,4408,,,,,,,,1790.76,Meters,,SOURCE_USPS_ZIP4TIGERLINES,2007,124995954,,tlid,0,,,,
3168 Braverton Street, Edgewater, MD,210372676, Institute for Learning Innovation Incorporated,171,USCGeocoder,265.6301,1,4.01,,db7a3ea5-5569-4671-b1df-2649cf6f7cb5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5979.680845,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,38.93192205,-76.56519712,Relaxed,TwoThousandTen,25050,8872,,90560,0,12580,1003,1,7011.02,3,24,1,ResidenceStreetAddress,3168,,,BRAVERTON,ST,,,,,,Edgewater,MD,21037,,,,2676,,,,,,3168 Braverton Street,,,,,,,,3168,,,BRAVERTON,ST,,,,,,Edgewater,MD,21037,,,,2676,,,,,,,,3198-3100,,,Braverton,St,,,,Edgewater,MD,21037,,,,,,,,,,7,Anne Arundel,5979.68,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,68209181,,tlid,0,,,,
2429 Via Linda Drive, Lawrence, KS,660473316, BioComp Systems,172,USCGeocoder,265.6301,1,4.01,,b42429cd-5201-4dc6-a44d-e2d8c29fa36b,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,734.641091,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,38.93882736,-95.30687724,Exact,TwoThousandTen,38900,4150,,38900,0,29940,1018,1,8.01,45,20,1,ResidenceStreetAddress,2429,,,VIA LINDA,DR,,,,,,Lawrence,KS,66047,,,,3316,,,,,,2429 Via Linda Drive,,,,,,,VIA,2429,,,LINDA,DR,,,,,,Lawrence,KS,66047,,,,3316,,,,,,,,2429,,,VIA LINDA,DR,,,,Lawrence,KS,66047,,,,3316,,,,,,,,734.64,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,43185,,UniqueId,0,,,,
4817 SW 34th Street Suite 4, Gainesville, FL,326082551, Convergent Engineering Inc,173,USCGeocoder,375.0072,1,4.01,,8b90918c-8680-408d-ab2a-92d2f1ebf214,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2607.338535,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,29.61211338,-82.3716622,Relaxed,TwoThousandTen,25175,2900,,91248,0,23540,1004,1,15.17,1,12,1,ResidenceStreetAddress,4817,,SW,34TH,ST,,STE,4,,,Gainesville,FL,32608,,,,2551,,,,,,4817 SW 34th Street Suite 4,,,,,,,,4817,,SW,34TH,ST,,STE,4,,,Gainesville,FL,32608,,,,2551,,,,,,,,4783-5251,,SW,34th,St,,,,Gainesville,FL,32608,,,,,,,,,,Gainesville,Alachua,2607.34,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,6877160,,tlid,0,,,,
181 North 11th St, Brooklyn, NY,112111175, dMetrics Inc.,174,USCGeocoder,500.0096,1,4.01,,cb33dd56-b6ed-45d2-9c6b-c97753fb39e0,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3126.277755,LinearInterpolationAddressRange,StreetSegment,99.30769231,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,40.71951741,-73.95432589,Relaxed,TwoThousandTen,51000,5602,35644,10022,0,35620,1001,1,517,47,36,1,ResidenceStreetAddress,181,,N,11TH,ST,,,,,,Brooklyn,NY,11211,,,,1175,,,,,,181 North 11th St,,,,,,,,181,,N,11TH,ST,,,,,,Brooklyn,NY,11211,,,,1175,,,,,,,,155-189,,N,11th,St,,,,New York,NY,11211,,,,,,,,,,Brooklyn,Kings,3126.28,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,59076442,,tlid,0,,,,
PO Box 519, Santa Barbara, CA,931020519, Anacapa Sciences Inc,175,USCGeocoder,312.506,1,4.01,,bb523711-dc12-4fd6-b0d9-68d9e51c685b,11,CityCentroid,BrokenTie,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,9531055.126,ArealInterpolationGeometricCentroid,City,100,FeatureClassBased,FlipACoin,,CityCentroid,,City-InputAddressIncorrectMultiplePossibilities,4,38.00549125,-122.5032866,Exact,TwoThousandTen,70154,7362,41884,92880,0,41860,3011,3,1060.02,41,6,9,Missing,,,,,,,,,,,Santa Barbara,CA,93102,,,,519,,,,,,PO Box 519,,,,,,,,,,,,,,,,,,Santa Barbara,CA,93102,,,,519,,,,,,,,,,,,,,,,Santa Venetia,CA,,,,,,,,,,,,,9531055.13,Meters,,SOURCE_CENSUS_2010_PLACES,2010,70154,,placeFp10,0,,,,
P.O. Box 667517, Houston, TX,770029330, Houston Community College,176,USCGeocoder,1421.9023,1,4.01,,f3335534-f085-44ca-9e99-eba9b6eee1f0,10,POBoxZIPCentroid,Success,LOCATION_TYPE_POST_OFFICE_BOX,Meters,LinearInterpolation,1875.38164,LinearInterpolationMidPoint,USPSZipPlus4,100,FeatureClassBased,FlipACoin,,USPSZipPlus4LineCentroid,,,1,29.74188504,-95.37673914,Exact,TwoThousandTen,,40,,91835,0,26420,1099,1,3125,201,48,5,POBoxZIP,,,,,,,,,,,,,77002,,,,9330,,,,,,,,,,,,,,,,,,,,,,,,Houston,TX,77002,,,,9330,,,,,,,,,,,,,,,,,TX,77002,,,,9330,,,,,,,,1875.38,Meters,,SOURCE_USPS_ZIP4TIGERLINES,2007,96070922,,tlid,0,,,,
39 Columbia Drive, Tampa, FL,336060000, Hillsborough Community College,177,USCGeocoder,625.012,1,4.01,,7c7c9390-d4ab-44ac-ae90-0707f725719e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,13386.90365,ArealInterpolationGeometricCentroid,Parcel,99.40828402,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,27.93485836,-82.45643735,Relaxed,TwoThousandTen,71000,8280,,93367,0,45300,4002,4,54.01,57,12,1,ResidenceStreetAddress,39,,,COLUMBIA,DR,,,,,,Tampa,FL,33606,,,,0,,,,,,39 Columbia Drive,,,,,,,,39,,,COLUMBIA,DR,,,,,,Tampa,FL,33606,,,,0,,,,,,,,39,,,Columbia,Dr,,,,Tampa,FL,33606,,,,3584,,,,,,,,13386.9,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,3504924,,UniqueId,0,,,,
95 Joralemon Street, Brooklyn, NY,112014004, FarCo Technologies Inc.,178,USCGeocoder,343.7566,1,4.01,,3206c057-89c4-46a8-8083-0086385f72ff,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,205.121256,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,40.69353644,-73.99583595,Exact,TwoThousandTen,51000,5602,35644,10022,0,35620,3001,3,5.01,47,36,1,ResidenceStreetAddress,95,,,JORALEMON,ST,,,,,,Brooklyn,NY,11201,,,,4004,,,,,,95 Joralemon Street,,,,,,,,95,,,JORALEMON,ST,,,,,,Brooklyn,NY,11201,,,,4004,,,,,,,,95,,,JORALEMON,ST,,,,New York,NY,11201,,,,4004,,,,,,,,205.12,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,651627,,UniqueId,0,,,,
9924 West Seventy Fourth Street, Eden Prairie, MN,553443523, SurModics Inc.,179,USCGeocoder,406.2578,1,4.01,,436b132a-e142-4fd5-8276-51b3b93ca02e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,34569.98166,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,44.86909193,-93.40229017,Relaxed;Soundex,TwoThousandTen,18116,5120,,18116,0,33460,1052,1,260.07,53,27,1,ResidenceStreetAddress,9924,,W,SEVENTYFOURTH,ST,,,,,,Eden Prairie,MN,55344,,,,3523,,,,,,9924 West Seventy Fourth Street,,,,,,,,9924,,W,SEVENTYFOURTH,ST,,,,,,Eden Prairie,MN,55344,,,,3523,,,,,,,,10198-9600,,W,74th,St,,,,Eden Prairie,MN,55344,,,,,,,,,,Eden Prairie,Hennepin,34569.98,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,43839269,,tlid,0,,,,
797 CROMWELL PARK DRIVE, Glen Burnie, MD,210610000, Pharad LLC,180,USCGeocoder,281.2554,1,4.01,,c30b62e3-697c-4ea9-9ecc-5c95d3b15e7d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,679.127156,LinearInterpolationAddressRange,StreetSegment,98.40236686,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,39.16927323,-76.64575806,Relaxed,TwoThousandTen,,1900,,90008,0,12580,1056,1,9800,3,24,1,ResidenceStreetAddress,797,,,CROMWELL PARK,DR,,,,,,Glen Burnie,MD,21061,,,,0,,,,,,797 CROMWELL PARK DRIVE,,,,,,,,797,,,CROMWELL PARK,DR,,,,,,Glen Burnie,MD,21061,,,,0,,,,,,,,701-799,,,Cromwell Park,Dr,,,,1,MD,21061,,,,,,,,,,1,Anne Arundel,679.13,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,606939107,,tlid,0,,,,
1600 W Imperial Highway, Los Angeles, CA,900474810, Los Angeles Southwest College,181,USCGeocoder,484.3843,1,4.01,,2c5fd62b-2077-43f5-9443-adf7f1126034,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4933.326103,LinearInterpolationAddressRange,StreetSegment,98.40236686,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,33.93080887,-118.3046663,Relaxed,TwoThousandTen,84116,4472,31084,91400,0,31100,2005,2,6028.01,37,6,1,ResidenceStreetAddress,1600,,W,IMPERIAL,HWY,,,,,,LOS ANGELES,CA,90047,,,,4810,,,,,,1600 W Imperial Highway,,,,,,,,1600,,W,IMPERIAL,HWY,,,,,,LOS ANGELES,CA,90047,,,,4810,,,,,,,,1600-1710,,W,Imperial,Hwy,,,,West Athens,CA,90047,,,,,,,,,,Inglewood,Los Angeles,4933.33,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,141660880,,tlid,0,,,,
P.O. Box 92957, Los Angeles, CA,900092957, Aerospace Corporation,182,USCGeocoder,625.012,1,4.01,,81d7b271-eadc-4b39-bb64-7811caea84d1,11,CityCentroid,BrokenTie,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,26654208.46,ArealInterpolationGeometricCentroid,City,100,FeatureClassBased,FlipACoin,,CityCentroid,,City-InputAddressIncorrectMultiplePossibilities,2,35.73085702,-120.8703878,Exact,TwoThousandTen,39670,7460,,92410,0,42020,2640,2,100.02,79,6,6,ResidenceCityOrZIPWithOneCensusTract,,,,,,,,,,,LOS ANGELES,CA,90009,,,,2957,,,,,,P.O. Box 92957,,,,,,,,,,,,,,,,,,LOS ANGELES,CA,90009,,,,2957,,,,,,,,,,,,,,,,Lake Nacimiento,CA,,,,,,,,,,,,,26654208.46,Meters,,SOURCE_CENSUS_2010_PLACES,2010,39670,,placeFp10,0,,,,
4600 N. Fairfax Dr. 7th Floor, Arlington, VA,222031553, NatureServe,183,USCGeocoder,296.8807,1,4.01,,e0f9bb2b-50b3-416c-83fb-6456f8906de2,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7654.264281,ArealInterpolationGeometricCentroid,Parcel,95.85798817,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,38.88102099,-77.11729407,Relaxed,TwoThousandTen,3000,8872,47894,90072,0,47900,1007,1,1014.01,13,51,1,ResidenceStreetAddress,4600,,N,FAIRFAX,DR,,UNIT FL,7TH,,,Arlington,VA,22203,,,,1553,,,,,,4600 N. Fairfax Dr. 7th Floor,,,,,,,,4600,,N,FAIRFAX,DR,,UNIT FL,7TH,,,Arlington,VA,22203,,,,1553,,,,,,,,4600,,,FAIRFAX,DR,,,,Arlington,VA,22203,,,,1553,,,,,,,,7654.26,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,78043,,UniqueId,0,,,,
2718 Winningham Rd., chapel hill, nc,275160552, ManningRF LLC,184,USCGeocoder,140.6277,1,4.01,,c30a08f0-5c8d-46fc-829d-3573cdeb0903,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,54030.51075,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,35.88652315,-79.13304127,Relaxed,TwoThousandTen,,480,,90620,0,20500,3021,3,112.03,135,37,1,ResidenceStreetAddress,2718,,,WINNINGHAM,RD,,,,,,chapel hill,NC,27516,,,,552,,,,,,2718 Winningham Rd.,,,,,,,,2718,,,WINNINGHAM,RD,,,,,,chapel hill,NC,27516,,,,552,,,,,,,,2898-2500,,,Winningham,Rd,,,,Chapel Hill,NC,27516,,,,,,,,,,Chapel Hill,Orange,54030.51,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,72375497,,tlid,0,,,,
NULL ADDRESS, Corvallis, OR,973310000, Han Barbara A,185,USCGeocoder,234.3795,1,4.01,,63266caf-3028-41e9-acf7-d44d2fdc47ab,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,835604.0563,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,44.56460429,-123.2804188,Exact,TwoThousandTen,15800,1890,,90680,0,18700,2005,2,107.02,3,41,4,ResidenceZIP,,,,NULL ADDRESS,,,,,,,Corvallis,OR,97331,,,,0,,,,,,NULL ADDRESS,,,,,,,,,,,NULL ADDRESS,,,,,,,Corvallis,OR,97331,,,,0,,,,,,,,,,,,,,,,,OR,97331,,,,,,,,,,,,835604.06,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,97331,,zcta5ce10,0,,,,
3848 Harrison Boulevard, Ogden, UT,844081027, Weber State University,186,USCGeocoder,312.506,1,4.01,,e2bcc4ae-2644-4a5a-b93c-3d689cc38601,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3728.158389,LinearInterpolationAddressRange,StreetSegment,95.41420118,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,41.19255489,-111.9487144,Relaxed,TwoThousandTen,55980,7160,,92322,0,36260,3022,3,2015,57,49,1,ResidenceStreetAddress,3848,,,HARRISON,BLVD,,,,,,Ogden,UT,84408,,,,1027,,,,,,3848 Harrison Boulevard,,,,,,,,3848,,,HARRISON,BLVD,,,,,,Ogden,UT,84408,,,,1027,,,,,,,,3800-3888,,,Harrison,Blvd,,,,Ogden,UT,84403,,,,,,,,,,Ogden,Weber,3728.16,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,605784241,,tlid,0,,,,
141 WASHINGTON ST, EAST WALPOLE, MA,20321155, Harris Acoustic Products Corporation,187,USCGeocoder,265.6301,1,4.01,,cda2858d-f5bb-4f5b-91be-3fc82e15d3be,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,34646.67646,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,42.16422257,-71.22046598,Exact,TwoThousandTen,,740,14484,72495,0,14460,3009,3,4112,21,25,1,ResidenceStreetAddress,141,,,WASHINGTON,ST,,,,,,EAST WALPOLE,MA,2032,,,,1155,,,,,,141 WASHINGTON ST,,,,,,,,141,,,WASHINGTON,ST,,,,,,EAST WALPOLE,MA,2032,,,,1155,,,,,,,,141,,,Washington,St,,,,Walpole,MA,2032,,,,1155,,,,,,,,34646.68,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,1172486,,UniqueId,0,,,,
P.O. Box 1346, Gloucester Point, VA,230621346, College of William & Mary Virginia Institute of Marine Science,188,USCGeocoder,140.6277,1,4.01,,05ece00d-05da-4747-832a-6014261db6cf,10,POBoxZIPCentroid,Success,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,8945696.05,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,37.25521115,-76.50183994,Exact,TwoThousandTen,31616,5720,,93735,0,47260,3027,3,1003.01,73,51,5,POBoxZIP,,,,,,,,,,,Gloucester Point,VA,23062,,,,1346,,,,,,P.O. Box 1346,,,,,,,,,,,,,,,,,,Gloucester Point,VA,23062,,,,1346,,,,,,,,,,,,,,,,,VA,23062,,,,,,,,,,,,8945696.05,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,23062,,zcta5ce10,0,,,,
300 The Fenway, Boston, MA,21155898, Simmons College,189,USCGeocoder,750.0144,1,4.01,,4587cae1-0668-461b-858d-3c88d315bc01,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1937859.866,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,42.34113175,-71.09450261,Exact,TwoThousandTen,7000,1122,14484,7000,0,14460,1022,1,9818,25,25,4,ResidenceZIP,300,,,THE FENWAY,,,,,,,Boston,MA,2115,,,,5898,,,,,,300 The Fenway,,,,,,,,300,,,THE FENWAY,,,,,,,Boston,MA,2115,,,,5898,,,,,,,,,,,,,,,,,MA,2115,,,,,,,,,,,,1937859.87,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,2115,,zcta5ce10,0,,,,
P. O. Box 7010, Albuquerque, NM,871047010, New Mexico Museum of Natural History Foundation,190,USCGeocoder,375.0072,1,4.01,,1c971127-9c06-436f-9752-f319caf542c2,10,POBoxZIPCentroid,Success,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,11919349.18,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,35.10334838,-106.6753813,Exact,TwoThousandTen,,200,,90060,0,10740,2010,2,25,1,35,5,POBoxZIP,,,,,,,,,,,Albuquerque,NM,87104,,,,7010,,,,,,P. O. Box 7010,,,,,,,,,,,,,,,,,,Albuquerque,NM,87104,,,,7010,,,,,,,,,,,,,,,,,NM,87104,,,,,,,,,,,,11919349.18,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,87104,,zcta5ce10,0,,,,
915 E Market Ave, Searcy, AR,721430000, Harding University Main Campus,191,USCGeocoder,390.6325,1,4.01,,9a134cf2-efd7-48ad-8d72-271f32faeb30,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5936.971452,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,35.24947053,-91.72566741,Relaxed,TwoThousandTen,63020,,,91506,1,42620,3000,3,708,145,5,1,ResidenceStreetAddress,915,,E,MARKET,AVE,,,,,,Searcy,AR,72143,,,,0,,,,,,915 E Market Ave,,,,,,,,915,,E,MARKET,AVE,,,,,,Searcy,AR,72143,,,,0,,,,,,,,1099-825,,E,Market,Ave,,,,Searcy,AR,72143,,,,,,,,,,Gray,White,5936.97,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,82968744,,tlid,0,,,,
6001 Dodge Street, Omaha, NE,681820210, University of Nebraska at Omaha,192,USCGeocoder,625.012,1,4.01,,bb38d642-33ac-4b00-94f3-3c82ba293969,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,354125.25,ArealInterpolationGeometricCentroid,Parcel,98.34319527,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,41.2578038,-96.01035774,Relaxed,TwoThousandTen,37000,5920,,92237,0,36540,2038,2,47,55,31,1,ResidenceStreetAddress,6001,,,DODGE,ST,,,,,,Omaha,NE,68182,,,,210,,,,,,6001 Dodge Street,,,,,,,,6001,,,DODGE,ST,,,,,,Omaha,NE,68182,,,,210,,,,,,,,6001,,,Dodge,St,,,,Omaha,NE,68132,,,,2000,,,,,,,,354125.25,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,132191,,UniqueId,0,,,,
2150 Center Avenue, Fort Collins, CO,805268119, Agricultural Research Services,193,USCGeocoder,453.1337,1,4.01,,680a0169-7cda-4b22-94d5-8b1a0a3b3ba5,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,104.145,ArealInterpolationGeometricCentroid,ZCTA,100,FeatureClassBased,FlipACoin,,ZCTACentroid,,,1,40.52425717,-105.1400268,Exact,TwoThousandTen,,1720,,92337,0,22660,3028,3,18.09,69,8,4,ResidenceZIP,2150,,,CENTER,AVE,,,,,,Fort Collins,CO,80526,,,,8119,,,,,,2150 Center Avenue,,,,,,,,2150,,,CENTER,AVE,,,,,,Fort Collins,CO,80526,,,,8119,,,,,,,,,,,,,,,,,CO,80526,,,,,,,,,,,,104144884.1,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,80526,,zcta5ce10,0,,,,
8000 York Road, Towson, MD,212520001, Towson University,194,USCGeocoder,328.1313,1,4.01,,30c40f72-be4e-44e0-ab7b-5644833bc4dc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1105.241941,LinearInterpolationAddressRange,StreetSegment,99.40828402,FeatureClassBased,FlipACoin,,AddressRangeInterpolation,,,1,39.39048157,-76.60533,Relaxed,TwoThousandTen,78425,8872,,90748,0,12580,2004,2,4906.05,5,24,1,ResidenceStreetAddress,8000,,,YORK,RD,,,,,,Towson,MD,21252,,,,1,,,,,,8000 York Road,,,,,,,,8000,,,YORK,RD,,,,,,Towson,MD,21252,,,,1,,,,,,,,8000-8098,,,York,Rd,,,,Towson,MD,21252,,,,,,,,,,9,Baltimore,1105.24,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,191539627,,tlid,0,,,,
1710 16th St. NW, Washington, DC,200093104, Association of American Geographers,195,USCGeocoder,578.1361,1,4.01,,e42e0709-9e62-4fb7-a4ac-87b6e09a512e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,204.4078999,ArealInterpolationGeometricCentroid,Parcel,97.63313609,FeatureClassBased,FlipACoin,,ExactParcelCentroidPoint,,,1,38.91306782,-77.03696443,Relaxed,TwoThousandTen,50000,8872,47894,50000,0,47900,1002,1,53.01,1,11,1,ResidenceStreetAddress,1710,,,16TH,ST,NW,,,,,Washington,DC,20009,,,,3104,,,,,,1710 16th St. NW,,,,,,,,1710,,,16TH,ST,NW,,,,,Washington,DC,20009,,,,3104,,,,,,,,1710,,,16TH,ST,,,,Washington,DC,20009,,,,3104,,,,,,,,204.41,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,86573,,UniqueId,0,,,,
