Code,Project Title,Principal Investigator,Co-Principal Investigators,Related to Project,semantics,biodiversity,infectious disease,arctic,workflows,diffusion,geospatial,sensors,water sustainabilitly
179,"Towards Socio-hydrologic Synthesis: Modeling the Co-evolutionary Dynamics of Coupled Human, Water, & Ecological Systems",Tara J. Troy,Murugesu Sivapalan,,,,,,,,,,x
180,"Socio-ecological System Resilience, Climate Change, & Adaptive Water Governance",Barbara Cosens,Lance Gunderson,,,,,,,,,,x
181,Climate Change & Water Resources Adaptation: Decision Scaling & Integrated Edo-engineering Resilience,N. LeRoy Poff,John H. Matthews,,,,,,,,,,x
182,"Advancing Research on the Perception, Role, & Function of Urban Green Infrastructure by Bridging the SESYNC Synthesis Process with an Open Community Engagement Process for Software Development",Barbara Minsker,"Larry Band, Stan Ahalt",,,,,,,,,,x
183,Water Science Software Institute,Barbara Minsker,Lawrence Band,,,,,,,,,,x
184,Conceptualization of a Water Science Software Institute,Stanley Ahalt,"Lawrence Band, Barbara Minsker, Margaret Palmer",,,,,,,,,,x
185,NSF Workshop on Creating Scientific Software Innovation Institutes for Sustained Cyberinfrastructure Achievement and Excellence,Stanley Ahalt,"Barbara Minsker, Ray Idaszak",,,,,,,,,,x
186,EAGER: Launch of a Water Science Software Institute (WSSI),Stanley Ahalt,"Barbara Minsker, Margaret Palmer, Lawrence Band",,,,,,,,,,x
187,WSC- Category 3: Collaborative Research: Water Sustainability under Near-term Climate Change : A cross-regional analysis incorporating socio-ecological feedbacks and adaptations,Sankarasubraman Arumugam,"Kenneth Kunkel, Emily Zechman, Tushar Sinha, Gnanamanikam Mahinthakumar",,,,,,,,,,x
188,"CNH: Coupled Climate, Cultivation, and Culture in the Great Plains: Understanding Water Supply and Water Quality in a Fragile Landscape",Melinda Daniels,"Kyle Douglas-Mankin, Marcellus Caldas, Joseph Aistrup, Martha Mather",,,,,,,,,,x
189,WSC- Category 3: Collaborative Research: Water Sustainability under Near-term Climate Change : A cross-regional analysis incorporating socio-ecological feedbacks and adaptations,John Kominoski,None,,,,,,,,,,x
190,WSC- Category 3: Collaborative Research: Water Sustainability under Near-term Climate Change : A cross-regional analysis incorporating socio-ecological feedbacks and adaptations,John Sabo,Kelli Larson,,,,,,,,,,x
191,"WSC-Category 1: Integrative Modeling of the Interactions, Connectivity and interdependence of Water Systems and Ecosystem Services in the Lower Mekong Basin",John Felkner,Sabina Shaikh,,,,,,,,,,x
192,WSC Category 3: Propogating Climate-Driven Changes in Hydrologic Processes and Ecosystem Functions across Extreme Biophysical and Anthropogenic Gradients,Thomas Harmon,"Yihsu Chen, Andres Aguilar, Qinghua Guo",,,,,,,,,,x
193,CAREER: Climate Informed Uncertainty Analyses for Integrated Water Resources Sustainability,Sankarasubraman Arumugam,None,,,,,,,,,,x
194,CAREER: Robust Management of Climate Uncertainty for Ecohydrological Sustainability,Casey Brown,None,,,,,,,,,,x
195,WSC - Category 1:Water Sustainability and Climate in the Great Lakes Region of East Africa,Thomas Johnson,"Jay Austin, Stephanie Guildford, Karen Gran, Robert Hecky",,,,,,,,,,x
196,Collaborative Research: Strengthening the scientific basis for decision-making: Advancing sustainability science and knowledge-action capacities in coupled coastal systems,Jane Nisbet,"Thomas Safford, Kevin Gardner, Vaughn Cooper, William McDowell",,,,,,,,,,x
197,Collaborative Research: Strengthening the scientific basis for decision-making: Advancing sustainability science and knowledge-action capacities in coupled coastal systems,Michael Eckardt,"Kathleen Bell, David Hart, Laura Lindenfeld",,,,,,,,,,x
198,INSPIRE: An Ecologically-Driven Strategy for Ensuring Sustainability of Anthropogenically and Climatically Impacted Lakes,Hans Paerl,None,,,,,,,,,,x
199,Potential Impacts of Prospective Climate Change on Groundwater Recharge in the Western United States,Thomas Meixner,None,,,,,,,,,,x
200,Climatic Controls on Snow-Vegetation Interactions Across an Elevational Gradient,Noah Molotch,None,,,,,,,,,,x
201,INSPIRE Track 1: Advancing groundwater restoration through qualitative analysis: What practitioners and stakeholders care about and why it matters,Alan Rabideau,"Kenneth Shockley, Michael Frisch, Erin Robinson",,,,,,,,,,x
202,Influence of stormwater management structures on ecological function in urban streams,Sara McMillan,"Sandra Clinton, Christina Tague, Anne Jefferson",,,,,,,,,,x
203,Predicting Climate Change impacts on Shallow Landslide Risk at regional scales,Erkan Istanbulluoglu,Jessica Lundquist,,,,,,,,,,x
204,EAGER: Assessing the Impact of Technology-Aided Participation and Mentoring on Transformative Interdisciplinary Research,Cathy Davidson,None,,,,,,,,,,x
